,0
0,"Both reading and debate on four days employees, compony more profites,decriese country employment rate and better employ life styles on the article, notwithstanding the lecture rejected all topics."
1,"

The author strongly proposes which four days employees have less cost to compony so compony can make more profites."
2," However the change would not effect the profite or increase const of compony by adding more employees compony should by more computers and need more space, the speaker effectively casts doubton the author issues argument."
3,"

The writter opinens that we have reduce unemployment number on country which more employment which have less cost to company becuase less pay to employ."
4, similar the less cost argument the orator weakens this argument by compony may rasie they excptions and force employees work overtimes that counter the topic.
5,"

Finally, we have the better employees life style argument, and the lecture informs us that more free time have bad result to empolys the be come less royals to thier jobs, which we can counter by chance to lose thier jobs become more."
6, This infomation directly limits the author's reasoning that empolyees have more time to spend with thier families.
7,"

Due to the effective contradicting of the arguments doubt exisits within the authors presention."
8,"

There is no shortage of opinions on always telling the truth is first piorety in any relationships."
9," If I were forced to choose, In my viewpoint, I believe the truth is most important consideration in all kind of relationships."
10," I feel this way for two main reasons, the truth came trust in peoples connection and saying truth show your self confident."
11,"

First of all, when always you say truth people know your words became invalid it is imposible so people always have a trust on you so your relations become greater."
12, My personal experience is a great example of this.
13, I working for a I.
14,T company as a developer after a while when company needs to choose new team mananger between developers CEO chooses me for this poistion after that I asked Why you choose me for this position from CEO his answer was you had enogh skills and so important I can trust you.
15," For this reason, I say the truth is builder of trust in relations."
16,"

Secondly, at the moment you scarde form somthing or somebody you lies ;However saying truth showes your having self confident and brave."
17," Drawing from my own experience, When was going to schools one day I did not do my homeworks and my teacher was so strice and she punished the students that did not done their howeworks I had two options on this day do not go school and force my mom to call school and say I am sick, secondly go school and take my punishment."
18, that day I choose was second choice.
19, My teacher tells my mothers your kid is brave my mother ask her why you say this opinien about my child her answer was I has no afried of tells truth about his bad action and take the punishments.
20, It is certainly clear to see when you sayes truth you have self confident.
21,"

In coclution, Saying truth is so important to all kind of relations."
22, this is because help you to gian people trust and show you have enogh brave to say the truth at all moments.
23,"

According to the author, dinosaurs are endotherms."
